gold_id,conversation_id,predicted_action,predicted_intent,retrieval_similarity,generated_response,correctness,groundedness,helpfulness,relevance,action_appropriateness,overall_score,judge_reason,judge_success
105,apple_2960121_28570,escalate,Other / General,0.5824,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
106,apple_2615237_25925,auto_handle,Messages / Calling,0.7309,"We understand you're experiencing an issue with Messages / Calling. Here is standard guidance from Apple Support: Have you checked to be sure all of your apps are updated. To do this, just open the App Store and tap Updates on the bottom. If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
107,apple_2500855_24978,escalate,iCloud / Backup / Data,0.5523,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
108,apple_366020_3606,escalate,Other / General,0.4209,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
109,apple_364716_3593,escalate,iOS / Software,0.7014,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
110,apple_768263_7460,auto_handle,Other / General,1.0,We understand you're experiencing an issue with Other / General. Could you let us know what specific behavior you are seeing so we can provide accurate guidance?,5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
111,apple_1146118_11207,auto_handle,Other / General,0.8636,"We understand you're experiencing an issue with Other / General. Here is standard guidance from Apple Support: Thanks! Have you noticed if this is occurring when using specific apps? Please DM us so we can look into this further. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
112,apple_522998_5066,auto_handle,Battery / Charging,0.6981,"We understand you're experiencing an issue with Battery / Charging. Here is standard guidance from Apple Support: Let's take a more in-depth look at what's using the battery. Check out this article: DM us more info. If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
113,apple_556085_5381,clarify,Other / General,0.7257,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
114,apple_2972460_28679,escalate,Other / General,0.7345,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
115,apple_1405358_13617,auto_handle,Settings / Features,0.8666,"We understand you're experiencing an issue with Settings / Features. Here is standard guidance from Apple Support: Let us know if this is an intermittent issue with Siri, and if you've restarted yet? DM us to continue from here. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
116,apple_501522_4815,escalate,Settings / Features,0.7805,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
117,apple_2276656_22093,escalate,iOS / Software,0.6864,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
118,apple_1519148_19835,escalate,iOS / Software,0.7514,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
119,apple_2452188_24581,auto_handle,Other / General,0.7185,"We understand you're experiencing an issue with Other / General. Here is standard guidance from Apple Support: Got it! Do you have another device that has previously experienced this issue? Also, are you seeing the 'i' problem on messages you send or receive? If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
120,apple_1230338_12093,auto_handle,Apple ID / Account,0.7284,"We understand you're experiencing an issue with Apple ID / Account. Here is standard guidance from Apple Support: Let's use the information in the following article to see if that backup is encrypted: If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
121,apple_1164667_11454,auto_handle,iOS / Software,0.7267,"We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: Did you restore your iCloud backup to the new iPhone and Watch? If so, how long ago was that completed? If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
122,apple_1588183_15487,escalate,iOS / Software,0.6118,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
123,apple_520286_5045,clarify,Other / General,0.7236,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
124,apple_1061440_10387,auto_handle,iOS / Software,0.7531,"We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: For help to find this, please check Settings > General > About. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
125,apple_1429688_13887,escalate,Connectivity,0.6263,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
126,apple_328081_3190,auto_handle,Connectivity,0.6924,"We understand you're experiencing an issue with Connectivity. Here is standard guidance from Apple Support: Got it. Let's meet up in DM to continue looking into this further. If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
127,apple_1590549_15517,escalate,Other / General,0.6733,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
128,apple_1180518_11642,auto_handle,Apple ID / Account,0.7482,"We understand you're experiencing an issue with Apple ID / Account. Here is standard guidance from Apple Support: Are you able to sign in with the new password from other devices? If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
129,apple_2321157_23257,escalate,Other / General,0.6351,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
130,apple_2750525_27047,escalate,Connectivity,0.6339,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
131,apple_1836268_18587,escalate,Other / General,0.5434,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
132,apple_1058922_10370,escalate,Device / Hardware,0.6168,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
133,apple_1767355_17991,escalate,iOS / Software,0.6258,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
134,apple_848302_8172,escalate,Other / General,0.506,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
135,apple_2287407_22466,escalate,Other / General,0.7423,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
136,apple_1616703_15760,escalate,Other / General,0.6101,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
137,apple_1971339_19670,auto_handle,Other / General,0.6869,"We understand you're experiencing an issue with Other / General. Here is standard guidance from Apple Support: We would like to gather further details in DM. Let us know which device you are using and we can get started. If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
138,apple_2888385_28012,escalate,Other / General,0.6003,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
139,apple_1596085_15607,clarify,Other / General,0.6664,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
140,apple_2308420_23064,auto_handle,Device / Hardware,0.7089,"We understand you're experiencing an issue with Device / Hardware. Here is standard guidance from Apple Support: How do you go about resetting your watch? If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
141,apple_299026_2845,escalate,Settings / Features,0.692,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
142,apple_1635185_16061,escalate,Other / General,0.5622,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
143,apple_2238185_21770,escalate,Other / General,0.6382,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
144,apple_559132_5481,escalate,Battery / Charging,0.5399,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
145,apple_2253474_21848,escalate,Other / General,0.6301,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
146,apple_652942_8859,auto_handle,iOS / Software,0.9134,"We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: Sounds great. Keep us posted on the results. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
147,apple_1681542_16716,escalate,Other / General,0.594,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
148,apple_1868484_18853,escalate,iOS / Software,0.8077,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
149,apple_1643316_16216,escalate,Other / General,0.5742,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
150,apple_2378866_23887,auto_handle,iOS / Software,0.6782,"We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: You can update to the newest version iOS 11.1.2. You want to make sure to back up your iPhone before updating. This article explains how: If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
151,apple_1638934_16120,escalate,Other / General,0.7125,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
152,apple_1953095_19495,auto_handle,Messages / Calling,0.8977,"We understand you're experiencing an issue with Messages / Calling. Here is standard guidance from Apple Support: We've received your DM and will continue there. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
153,apple_619439_6122,auto_handle,Battery / Charging,0.7139,"We understand you're experiencing an issue with Battery / Charging. Here is standard guidance from Apple Support: We'd be happy to help. If you'd like to continue, DM us. If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
154,apple_2146493_21220,auto_handle,Music / Media,0.6653,"We understand you're experiencing an issue with Music / Media. Here is standard guidance from Apple Support: Are you using Apple Music on more than one device? Does the added music appear in iCloud Music Library on other devices? If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
155,apple_1776312_18227,escalate,Other / General,0.7902,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
156,apple_1234747_12156,escalate,iOS / Software,0.6773,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
157,apple_1679978_16689,escalate,Other / General,0.6769,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
158,apple_2783273_27325,auto_handle,iOS / Software,0.9032,"We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: Got it. Let's start with restarting your iPhone. This can resolve many issues. If you're still seeing this stutter, send us a screen recording of this issue in DM. This link shows how to do this: DM us here: If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
159,apple_1738788_17471,auto_handle,Messages / Calling,0.7834,"We understand you're experiencing an issue with Messages / Calling. Here is standard guidance from Apple Support: We've received your DM and will continue working with you there. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
160,apple_763631_7414,auto_handle,iOS / Software,0.8368,"We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: Let's help. Reach out to us via DM and we can go from there. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
161,apple_2015444_20074,auto_handle,Messages / Calling,0.7872,"We understand you're experiencing an issue with Messages / Calling. Here is standard guidance from Apple Support: Thanks for your patience. We have your DM and will follow up with you there. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
162,apple_79996_767,escalate,Other / General,0.9001,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
163,apple_2862132_27913,auto_handle,Messages / Calling,0.8363,"We understand you're experiencing an issue with Messages / Calling. Here is standard guidance from Apple Support: We've responded to your DM. Look for us there. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
164,apple_1087763_10718,escalate,Battery / Charging,0.5617,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
165,apple_2631501_28576,escalate,iOS / Software,0.569,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
166,apple_2698036_26564,auto_handle,Battery / Charging,0.7003,"We understand you're experiencing an issue with Battery / Charging. Here is standard guidance from Apple Support: Let's backup your device then update to the newest version. DM us if the issue remains. If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
167,apple_2631547_26090,clarify,Other / General,0.5207,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
168,apple_2492353_24908,escalate,Other / General,0.5009,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
169,apple_1267179_12369,escalate,Other / General,0.6063,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
170,apple_2618346_25976,auto_handle,Music / Media,0.6966,"We understand you're experiencing an issue with Music / Media. Here is standard guidance from Apple Support: Do you have to do anything specific to get the iPhone to respond again or do you just give it time to return to normal? Is it the Music app that is becoming unresponsive or other apps you're using while listening to Apple Music? If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
171,apple_2686673_26407,auto_handle,iCloud / Backup / Data,0.8232,"We understand you're experiencing an issue with iCloud / Backup / Data. Here is standard guidance from Apple Support: Glad to hear it's resolved! Feel free to reach out here if you have concerns in the future. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
172,apple_938111_9183,escalate,iOS / Software,0.6737,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
173,apple_2291549_22534,escalate,iOS / Software,0.7845,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
174,apple_489674_4731,clarify,Other / General,1.0,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
175,apple_667028_6677,clarify,Other / General,0.4883,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
176,apple_1682450_16737,auto_handle,Device / Hardware,0.6587,"We understand you're experiencing an issue with Device / Hardware. Here is standard guidance from Apple Support: A broken iPad is never fun. So that we can explore the best options for your region, DM the country you’re messaging us from. If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
177,apple_354552_3446,escalate,Other / General,0.6101,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
178,apple_1773360_18160,escalate,App Store / Purchases,0.5442,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
179,apple_1704600_17067,auto_handle,Other / General,0.666,"We understand you're experiencing an issue with Other / General. Here is standard guidance from Apple Support: Here’s what you can do to work around the issue until it’s fixed in a future software update: If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
180,apple_781849_7547,escalate,Other / General,0.4581,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
181,apple_94790_936,auto_handle,Connectivity,0.6601,"We understand you're experiencing an issue with Connectivity. Here is standard guidance from Apple Support: Okay, feel free to reach back out if you need us. If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
182,apple_1201131_11797,escalate,Other / General,0.5034,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
183,apple_255555_2396,escalate,iOS / Software,0.7373,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
184,apple_2358807_23608,auto_handle,Other / General,0.7275,"We understand you're experiencing an issue with Other / General. Here is standard guidance from Apple Support: iPhone is still restoring a backup and has paused the installation of the update. Choose ""Install Now"" after backup is complete. If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
185,apple_1300739_12634,escalate,Other / General,0.7299,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
186,apple_2149179_21272,clarify,Other / General,1.0,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
187,apple_23078_260,auto_handle,Other / General,0.7225,"We understand you're experiencing an issue with Other / General. Here is standard guidance from Apple Support: We've gotten it and will continue with you there. Be on the lookout for our message. Thanks! If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
188,apple_2412491_24132,auto_handle,Battery / Charging,0.7851,"We understand you're experiencing an issue with Battery / Charging. Here is standard guidance from Apple Support: Okay, let's take a closer look into what is going on in DM. Send us a message with the country you're located in and we'll follow up there. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
189,apple_1700843_16974,escalate,Other / General,0.6763,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
190,apple_811789_7850,escalate,Music / Media,0.5824,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
191,apple_892816_8778,auto_handle,iOS / Software,0.7475,"We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: Which iOS version is your iPhone 6s currently running? How to find the iOS version: If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
192,apple_2572064_25609,escalate,Other / General,0.785,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
193,apple_505193_4843,escalate,iOS / Software,0.7649,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
194,apple_414031_4166,escalate,Other / General,0.5491,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
195,apple_1964010_19605,escalate,Apple ID / Account,0.6248,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
196,apple_2403563_23968,escalate,iOS / Software,0.6994,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
197,apple_1412794_13748,auto_handle,Other / General,0.7443,"We understand you're experiencing an issue with Other / General. Here is standard guidance from Apple Support: Do you notice this lack of information on both devices or do they appear out of sync? Meet us in DM and we'll continiue. If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
198,apple_1674050_16587,auto_handle,Other / General,0.8861,We understand you're experiencing an issue with Other / General. Could you let us know what specific behavior you are seeing so we can provide accurate guidance?,5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
199,apple_1406214_13631,auto_handle,iOS / Software,0.9015,We understand you're experiencing an issue with iOS / Software. Could you let us know what specific behavior you are seeing so we can provide accurate guidance?,5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
200,apple_159558_1398,clarify,Other / General,0.7217,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
