gold_id,conversation_id,length_bucket,conversation_length,conversation_context,first_customer_message,latest_customer_message,proposed_intent,intent_confidence,proposed_escalate,proposed_escalation_reason,human_intent,human_escalate,human_escalation_reason,review_status,review_notes
45,apple_2403762_23992,short,2,"AppleSupport: @691470 Thanks for reaching out, we can help. The section of this article titled, ""If your screen is black or frozen"" has the instructions to resolve this issue: [LINK]
Customer: @AppleSupport Like I said a puzzle kinda missing the point there!",@AppleSupport Like I said a puzzle kinda missing the point there!,@AppleSupport Like I said a puzzle kinda missing the point there!,Other / General,LOW,NO,Standard support issue,Device / Hardware,NO,,REVIEWED,Intent corrected from 'Other / General' to 'Device / Hardware'; escalation flag confirmed.
46,apple_1971086_19665,short,2,"AppleSupport: @447901 We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? [LINK]
Customer: @AppleSupport sent dm",@AppleSupport sent dm,@AppleSupport sent dm,Other / General,LOW,YES,Insufficient actionable context,Other / General,NO,,REVIEWED,Intent confirmed; escalation flag changed from YES to NO.
47,apple_1606700_15704,short,2,"AppleSupport: @493553 We want you to be able to. Does this help? [LINK]
Customer: @AppleSupport Y'all need to start updating your products for 5 years instead of 3 that's how you loss customers",@AppleSupport Y'all need to start updating your products for 5 years instead of 3 that's how you loss customers,@AppleSupport Y'all need to start updating your products for 5 years instead of 3 that's how you loss customers,Other / General,LOW,NO,Standard support issue,Other / General,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
48,apple_61348_720,medium,4,"AppleSupport: Accidentally deleted an app? Here's how to find and reinstall your purchased apps in iOS 11. [LINK]
Customer: @AppleSupport Apple pls update or make something sow when you scroll down on instagram or Twitter it doesn’t lag
AppleSupport: @143057 Let's look into this behavior together. To get started, which device are you using?
Customer: @AppleSupport I fhone 5s",@AppleSupport Apple pls update or make something sow when you scroll down on instagram or Twitter it doesn’t lag,@AppleSupport I fhone 5s,App Issue,HIGH,YES,Transaction or billing issue,iOS / Software,NO,,REVIEWED,Intent corrected from 'App Issue' to 'iOS / Software'; escalation flag changed from YES to NO.
49,apple_2758265_27158,long,5,"AppleSupport: @771871 We'll get you back to enjoying your new iPhone. Tell us more about the issue you're having with your 4G.
Customer: @AppleSupport Phone has no signal for hours
AppleSupport: @771871 Let's start by following the steps in this article: [LINK] Are you in an area with cellular coverage? Also, have you tried to restart you iPhone?
Customer: @AppleSupport Every time still no working, message of i have not data provider, Telcel support review the chip and si not the service, Is the phone of 1000 usd that not work
AppleSupport: @771871 We'd like to continue working with on this, DM us and we'll keep going there. [LINK]",@AppleSupport Phone has no signal for hours,"@AppleSupport Every time still no working, message of i have not data provider, Telcel support review the chip and si not the service, Is the phone of 1000 usd that not work",Connectivity,MEDIUM,NO,Standard support issue,Connectivity,YES,Issue remains unresolved after troubleshooting,REVIEWED,Intent confirmed; escalation flag changed from NO to YES.
50,apple_2676896_26285,short,2,"AppleSupport: @753405 Having issues with your battery? We'd like to help. Have you had a chance to check out this article? [LINK]
Customer: @AppleSupport Uh huhhhh have you read this article ? [LINK]",@AppleSupport Uh huhhhh have you read this article ? [LINK],@AppleSupport Uh huhhhh have you read this article ? [LINK],Other / General,LOW,NO,Standard support issue,Battery / Charging,NO,,REVIEWED,Intent corrected from 'Other / General' to 'Battery / Charging'; escalation flag confirmed.
51,apple_889075_8738,long,5,"AppleSupport: @331076 We want to help. Please tell us which version of iOS you have installed on your iPhone. You can view this in Settings &gt; General &gt; About.
Customer: @AppleSupport I have 11.1.2 , and I have the iPhone 7+
AppleSupport: @331076 Got it. You mentioned your phone being laggy. Please tell us more about what you're experiencing while using your phone. Does this happen while using certain apps?
Customer: @AppleSupport There is a delayed touch response switching between apps and iPhone screens, and typing using the keyboard and also voice recognition. Also I have apps freeze now, and they didn’t used to before I upgraded.
AppleSupport: @331076 We'd be happy to look into this with you further. DM us using the link below and we'll go from there. [LINK]","@AppleSupport I have 11.1.2 , and I have the iPhone 7+","@AppleSupport There is a delayed touch response switching between apps and iPhone screens, and typing using the keyboard and also voice recognition. Also I have apps freeze now, and they didn’t used to before I upgraded.",iOS / Software,HIGH,NO,Standard support issue,Messages / Calling,NO,,REVIEWED,Intent corrected from 'iOS / Software' to 'Messages / Calling'; escalation flag confirmed.
52,apple_2703186_26629,medium,4,"AppleSupport: @759272 Let us help with your iPhone! We can understand wanting to get your data transferred over. What happens when you try to transfer the data? Are you getting an error message?
Customer: @AppleSupport Not sir, I donno how to do it. Cant find a way. I tried searching for it, saw Apple's site, but no help.
AppleSupport: @759272 Thanks for letting us know. You’ll want to be sure to follow the exact steps listed here: [LINK] Let us know if you're still having issues after completing the steps in the article.
Customer: @AppleSupport Ok let me try that, will let you know if I need further help :) Thnku.","@AppleSupport Not sir, I donno how to do it. Cant find a way. I tried searching for it, saw Apple's site, but no help.","@AppleSupport Ok let me try that, will let you know if I need further help :) Thnku.",Other / General,LOW,NO,Standard support issue,Other / General,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
53,apple_710659_6982,medium,3,"AppleSupport: @289937 We're here for you. Are you getting an error when trying to pair?
Customer: @AppleSupport It was getting stuck signing into my account. Left it alone for a few hours and it finally worked
AppleSupport: @289937 We're glad to hear you were able to resolve the issue. If you have any further questions or concerns, feel free to DM us. [LINK]",@AppleSupport It was getting stuck signing into my account. Left it alone for a few hours and it finally worked,@AppleSupport It was getting stuck signing into my account. Left it alone for a few hours and it finally worked,Apple ID / Account,HIGH,NO,Standard support issue,Other / General,NO,,REVIEWED,Intent corrected from 'Apple ID / Account' to 'Other / General'; escalation flag confirmed.
54,apple_1148780_11256,medium,3,"AppleSupport: @390339 We're glad you reached out to us so we can help. See using Control Center for info on Bluetooth: [LINK]
Customer: @AppleSupport Thank You
AppleSupport: @390339 You’re welcome. Feel free to reach back out to us if you have further questions. Have a wonderful day!",@AppleSupport Thank You,@AppleSupport Thank You,Other / General,LOW,YES,Insufficient actionable context,Connectivity,NO,,REVIEWED,Intent corrected from 'Other / General' to 'Connectivity'; escalation flag changed from YES to NO.
55,apple_822704_7966,long,5,"AppleSupport: @315972 We've got your back. Can you provide us with your device model and operating system version?
Customer: @AppleSupport iphone SE ios 11.0.01
AppleSupport: @315972 Glad to hear back. We'll do all we can to assist. We've released iOS 11.0.3. We'd suggest backing up and updating next.
Customer: @AppleSupport what do you mean backing up ?
AppleSupport: @315972 This article explains how to back up your device: [LINK]",@AppleSupport iphone SE ios 11.0.01,@AppleSupport what do you mean backing up ?,iOS / Software,HIGH,NO,Standard support issue,iOS / Software,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
56,apple_753049_7304,long,5,"AppleSupport: @299981 We'd like to look into this with you. What is your current iOS version? You can find it at Settings &gt; General &gt; About.
Customer: @AppleSupport Thanks. That would be great. 11.0.02 (15A421)
AppleSupport: @299981 Does this occur when connected to Wi-Fi? Have you been able to remove and re-install the app?
Customer: @AppleSupport It happens WiFi and LTE. Haven’t tried uninstall tho.
AppleSupport: @299981 No worries. Let's follow the steps here: [LINK] and then reinstall and let us know if the behavior continues.",@AppleSupport Thanks. That would be great. 11.0.02 (15A421),@AppleSupport It happens WiFi and LTE. Haven’t tried uninstall tho.,Connectivity,MEDIUM,NO,Standard support issue,Connectivity,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
57,apple_2028919_20200,short,2,"AppleSupport: @599989 Let’s work together on this situation. How long has this been happening? Let us know via a DM. We’ll go from there. [LINK]
Customer: @AppleSupport Thanks, message sent.","@AppleSupport Thanks, message sent.","@AppleSupport Thanks, message sent.",Other / General,LOW,YES,Insufficient actionable context,Other / General,NO,,REVIEWED,Intent confirmed; escalation flag changed from YES to NO.
58,apple_119491_1125,medium,3,"AppleSupport: @142510 Thanks for reaching out. Do you currently have iCloud Music Library enabled? Also, let us know the iOS you're running on your iPhone and we'll take it from there.
Customer: @AppleSupport Thank you, @AppleSupport I’m occupied for the holiday, but will try ASAP. #HappyThanksgiving
AppleSupport: @142510 You are very welcome. Happy Holidays!","@AppleSupport Thank you, @AppleSupport I’m occupied for the holiday, but will try ASAP. #HappyThanksgiving","@AppleSupport Thank you, @AppleSupport I’m occupied for the holiday, but will try ASAP. #HappyThanksgiving",Other / General,LOW,NO,Standard support issue,iCloud / Backup / Data,NO,,REVIEWED,Intent corrected from 'Other / General' to 'iCloud / Backup / Data'; escalation flag confirmed.
59,apple_2840405_27761,short,2,"AppleSupport: @790415 We're here for you. What happens when you connect the iPhone to your car? Which car manufacturer and model do you have? [LINK]
Customer: @AppleSupport 2012 Honda Accord. Used to connect automatically through USB cable when plugged in, after the update it says that it isn’t supported when I plug it in.","@AppleSupport 2012 Honda Accord. Used to connect automatically through USB cable when plugged in, after the update it says that it isn’t supported when I plug it in.","@AppleSupport 2012 Honda Accord. Used to connect automatically through USB cable when plugged in, after the update it says that it isn’t supported when I plug it in.",Messages / Calling,MEDIUM,NO,Standard support issue,iOS / Software,NO,,REVIEWED,Intent corrected from 'Messages / Calling' to 'iOS / Software'; escalation flag confirmed.
60,apple_612853_6006,medium,3,"AppleSupport: Seeing an i️ whenever you type “i"" in iOS 11.1? Fix it by installing the latest software update. [LINK]
Customer: @AppleSupport Hey apple I️ have a 7+ and it gets HOT every time I️ use it
AppleSupport: @723566 We want you to enjoy your iPhone; we'll do all we can to help. It can be normal for your iPhone to get warm during use. You can learn more about that under ""Your device might get warm"" here: [LINK]",@AppleSupport Hey apple I️ have a 7+ and it gets HOT every time I️ use it,@AppleSupport Hey apple I️ have a 7+ and it gets HOT every time I️ use it,Other / General,LOW,NO,Standard support issue,iOS / Software,NO,,REVIEWED,Intent corrected from 'Other / General' to 'iOS / Software'; escalation flag confirmed.
61,apple_2303697_22921,short,2,"AppleSupport: @668454 To clarify, are you currently missing contacts or were you missing them before? Please let us know in DM. [LINK]
Customer: @AppleSupport It’s sorted now. It just 2 weeks which cost me money and ALOT of stress😫",@AppleSupport It’s sorted now. It just 2 weeks which cost me money and ALOT of stress😫,@AppleSupport It’s sorted now. It just 2 weeks which cost me money and ALOT of stress😫,Other / General,LOW,NO,Standard support issue,Other / General,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
62,apple_1439364_13974,short,2,"AppleSupport: @454037 Please tell us what's going on with your iPhone. We're anxious to help get things resolved.
Customer: @AppleSupport Podcasts will stop out of nowhere, and my music will start playing.","@AppleSupport Podcasts will stop out of nowhere, and my music will start playing.","@AppleSupport Podcasts will stop out of nowhere, and my music will start playing.",Music / Media,MEDIUM,NO,Standard support issue,Music / Media,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
63,apple_484601_4674,long,9,"AppleSupport: @230324 We offer support via Twitter in English. Get help in Spanish here: [LINK] or join [LINK]
Customer: @AppleSupport Lol! Some icons (messages, calculator, photos...)💥 since last #macOSHighSierra security update. How I fix it?
AppleSupport: @230324 Is this only showing this way in Finder or are you seeing it the same inside of Launchpad?
Customer: @AppleSupport Only in Finder. In Launchpad it's showing ok [LINK]
AppleSupport: @230324 Has restarting your computer been helpful at all?
Customer: @AppleSupport Nope. [LINK]
AppleSupport: @230324 Thank you for that information. Let's see if they load correctly in safe mode. This is how boot into safe mode: [LINK]
Customer: @AppleSupport Solved. In safe mode they looked good. With this last restart now it seems that they're displayed correctly. Thanks.
AppleSupport: @230324 You’re welcome. Please feel free to reach out any time you have questions or concerns. Hope you have a good day.","@AppleSupport Lol! Some icons (messages, calculator, photos...)💥 since last #macOSHighSierra security update. How I fix it?",@AppleSupport Solved. In safe mode they looked good. With this last restart now it seems that they're displayed correctly. Thanks.,iOS / Software,HIGH,YES,Account/security-sensitive issue,iOS / Software,NO,,REVIEWED,Intent confirmed; escalation flag changed from YES to NO.
64,apple_304458_2944,long,6,"AppleSupport: @188706 We can help you resolve this mystery. What model device do you have? So we can ensure proper settings, what country are you in?
Customer: @AppleSupport Hi, I’m in Australia and using a iPhone 7Plus
AppleSupport: @188706 Thank you very much. What iOS are you using at the moment? Please DM your answer and we'll see you there! [LINK]
Customer: @AppleSupport Thank you, DM just sent
AppleSupport: @188706 We've received your DM and will continue with you there! Be on the lookout for our reply. Thank you!
Customer: @AppleSupport Thank you for the reply, the fix has worked 😉👍🏼🙏🏼","@AppleSupport Hi, I’m in Australia and using a iPhone 7Plus","@AppleSupport Thank you for the reply, the fix has worked 😉👍🏼🙏🏼",Other / General,LOW,NO,Standard support issue,Settings / Features,NO,,REVIEWED,Intent corrected from 'Other / General' to 'Settings / Features'; escalation flag confirmed.
65,apple_2355016_23518,long,7,"AppleSupport: @389172 We're here to help and will do all we can to work towards a resolution. To help guide us through troubleshooting, may we get the exact iOS version currently running on the iPhone?
Customer: @AppleSupport IOS 5s Already throttled my usage Lucky to get 4 to 5 hrs Will rapidly drop 50% then rocket back up 40% when i plug in Can’t trust battery
AppleSupport: @389172 Thank you for those details. If you haven't had the chance, we would want to try the steps in the following article. Let us know in a DM if you notice any improvements after adjusting settings. [LINK] [LINK]
Customer: @AppleSupport Did that weeks ago after first upgrading. Your company response assumes we’re idiots. I am not the only one having these issues
AppleSupport: @389172 Thanks for having already looked over that! Please DM us with the specific iOS version on your iPhone currently and we'd be happy to look into other troubleshooting for this. [LINK]
Customer: @AppleSupport Was using MapMyWalk to track a walk w screen locked Shouldn’t have lost more than 10-20%
AppleSupport: @389172 Please DM us using the link below and we'd be happy to investigate further with you. [LINK]",@AppleSupport IOS 5s Already throttled my usage Lucky to get 4 to 5 hrs Will rapidly drop 50% then rocket back up 40% when i plug in Can’t trust battery,@AppleSupport Was using MapMyWalk to track a walk w screen locked Shouldn’t have lost more than 10-20%,iOS / Software,HIGH,YES,Potentially sensitive data-recovery issue,Battery / Charging,NO,,REVIEWED,Intent corrected from 'iOS / Software' to 'Battery / Charging'; escalation flag changed from YES to NO.
66,apple_2350807_23478,long,5,"AppleSupport: @679455 We want to help get your iPhone charging and working as expected again. To verify, have you tried using more than one charging cable and power source to see if this has any impact? Are you using the cable that came with your device?
Customer: @AppleSupport Yes, I took a special trip to the Apple store to buy 2. chargers the extension one and the regular.. I have used both.. but my phone will not hold that charge
AppleSupport: @679455 Thank you for letting us know. To be clear, is your iPhone charging and draining quickly, or is your iPhone not charging at all?
Customer: @AppleSupport Charging and draining quick
AppleSupport: @679455 Understood. Would you mind please joining us in DM? We'd like to get started on troubleshooting: [LINK]","@AppleSupport Yes, I took a special trip to the Apple store to buy 2. chargers the extension one and the regular.. I have used both.. but my phone will not hold that charge",@AppleSupport Charging and draining quick,Battery / Charging,HIGH,NO,Standard support issue,Battery / Charging,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
67,apple_92805_906,long,7,"AppleSupport: @136102 We know how important it is to have your device. Please send us a DM, let us know what’s happening, and we’ll see how we can help. [LINK]
Customer: @AppleSupport Pleas look at order W578459521, your customer support is abysmal in this matter. Clearly the device has been lost somewhere with the courier
AppleSupport: @136102 Whenever we work with an order we like to verify the country where the order is being delivered to. What country are you located in?
Customer: @AppleSupport UK
AppleSupport: @136102 For the best assistance regarding your order status and location, call our Apple Online Store team directly at 0800 048 0408. Lines are open Monday-Friday 08:00-20:00 and Saturday-Sunday 09:00-18:00. Or use: [LINK] Other questions? DM us. [LINK]
Customer: @AppleSupport Tried that for many days already, it’s useless
AppleSupport: @136102 Thanks for letting us know. Because we don't handle orders via Twitter, we'd ask that you keep trying to reach our Online Store. They are best suited to assist you.","@AppleSupport Pleas look at order W578459521, your customer support is abysmal in this matter. Clearly the device has been lost somewhere with the courier","@AppleSupport Tried that for many days already, it’s useless",Other / General,LOW,YES,Potentially sensitive data-recovery issue,Other / General,YES,Customer expressing significant frustration,REVIEWED,Intent confirmed; escalation flag confirmed.
68,apple_1216306_11921,medium,4,"AppleSupport: @405403 Great, question! You can only manage your pre-orders in iTunes on a Mac or PC: [LINK]
Customer: @AppleSupport u guys need to make it where we can its BS
AppleSupport: @405403 You can definitely reach out to our iTunes Store support team here if you'd like: [LINK]
Customer: @AppleSupport tried that already",@AppleSupport u guys need to make it where we can its BS,@AppleSupport tried that already,Other / General,LOW,NO,Standard support issue,Music / Media,NO,,REVIEWED,Intent corrected from 'Other / General' to 'Music / Media'; escalation flag confirmed.
69,apple_2414347_24167,medium,3,"AppleSupport: @693988 We'd be happy to point you in the right direction for help with your gift card. You'll want to get in touch with our iTunes Support team about this. You can schedule a call with them after creating a support case online here: [LINK]
Customer: @AppleSupport Thank you
AppleSupport: @693988 You're very welcome.",@AppleSupport Thank you,@AppleSupport Thank you,Other / General,LOW,YES,Insufficient actionable context,Messages / Calling,NO,,REVIEWED,Intent corrected from 'Other / General' to 'Messages / Calling'; escalation flag changed from YES to NO.
70,apple_1220407_11987,short,2,"AppleSupport: @118312 Your notes are important to you, and we'll do all we can to help get them back. To start, let us know what device and iOS version you're using in DM: [LINK]
Customer: @AppleSupport I DM’d you already.",@AppleSupport I DM’d you already.,@AppleSupport I DM’d you already.,Other / General,LOW,NO,Standard support issue,iOS / Software,NO,,REVIEWED,Intent corrected from 'Other / General' to 'iOS / Software'; escalation flag confirmed.
71,apple_1706882_17101,medium,3,"AppleSupport: @178753 We're happy to help. First, which iPhone are you using? Second, which version of iOS are you on? Thanks!
Customer: @AppleSupport 7+ and iOS 11.0
AppleSupport: @178753 Thanks for checking. We'd suggest backing up and updating to iOS 11.1 to see if that helps. Learn how: [LINK]",@AppleSupport 7+ and iOS 11.0,@AppleSupport 7+ and iOS 11.0,iOS / Software,HIGH,NO,Standard support issue,iOS / Software,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
72,apple_45584_547,short,2,"AppleSupport: @126094 We'll do all we can to get your Photos back. Please reach out to our Photos team here: [LINK]
Customer: @AppleSupport Thank you ❤",@AppleSupport Thank you ❤,@AppleSupport Thank you ❤,Other / General,LOW,YES,Insufficient actionable context,Other / General,NO,,REVIEWED,Intent confirmed; escalation flag changed from YES to NO.
73,apple_125796_1188,short,2,"AppleSupport: @144228 Hi. We are here to help. Please reach out to our Apple TV support team with this link: [LINK]
Customer: @AppleSupport This can’t be the first time this has happened.",@AppleSupport This can’t be the first time this has happened.,@AppleSupport This can’t be the first time this has happened.,Other / General,LOW,NO,Standard support issue,Other / General,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
74,apple_302929_2916,medium,3,"AppleSupport: @188293 We want your iPhone to be available to you when you need it. Let us know what specifically is going on with it. You have our commitment that we'll work with you to investigate so we can offer the best solution.
Customer: @AppleSupport well um for starters it shuts off @ 75% and doesn’t turn back on half the time. it’s extremely glitchy and so much more.
AppleSupport: @188293 Are you experiencing both of these behaviors while using specific applications or features? What's the iOS version you're using? Meet us in a DM, we'll continue with this there. [LINK]",@AppleSupport well um for starters it shuts off @ 75% and doesn’t turn back on half the time. it’s extremely glitchy and so much more.,@AppleSupport well um for starters it shuts off @ 75% and doesn’t turn back on half the time. it’s extremely glitchy and so much more.,Other / General,LOW,NO,Standard support issue,Other / General,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
75,apple_802459_7719,medium,4,"AppleSupport: @311212 We're here to help. To better assist, what currently happens when you attempt to make a call?
Customer: @AppleSupport an update if I have time to go to AT&amp;T and have them troubleshoot it for me. 4/4
AppleSupport: @311212 Can you let us know what type of reset was done by AT&amp;T? We also want you able to enjoy the latest features of each update.
Customer: @AppleSupport They held down the home button and the sleep/wake button. However, I don't think they put it into recovery mode. They took the phone from me",@AppleSupport an update if I have time to go to AT&amp;T and have them troubleshoot it for me. 4/4,"@AppleSupport They held down the home button and the sleep/wake button. However, I don't think they put it into recovery mode. They took the phone from me",Device / Hardware,HIGH,YES,Potentially sensitive data-recovery issue,Device / Hardware,NO,,REVIEWED,Intent confirmed; escalation flag changed from YES to NO.
76,apple_954225_9396,long,5,"AppleSupport: @346417 We’ll be glad to see how we can help. To begin, tell us which device you’re noticing this on, and we’ll get started.
Customer: @AppleSupport iPhone 6s
AppleSupport: @346417 Got it, thanks. Did you notice the photos were gone after doing anything specific on your iPhone, such as a restart or update?
Customer: @AppleSupport No, they literally just disappeared :(
AppleSupport: @346417 Your photos are important. We have a team of Photos specialists who can help. Go to: [LINK]",@AppleSupport iPhone 6s,"@AppleSupport No, they literally just disappeared :(",Other / General,LOW,NO,Standard support issue,Other / General,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
77,apple_1557151_15038,medium,4,"AppleSupport: @481363 We want you to be able to enjoy your new iPhone X. What happens when you try to download or update? Do you get an error message? Is this the same on both Wi-Fi and cellular?
Customer: @AppleSupport It’s the same using cellular &amp; WiFi (tried 3 different WiFi networks) when I try downloading an app, it says double tap on the right. I do. Nothing happens. When updating, the app just never loads. I’ve been “updating” since yesterday.
AppleSupport: @481363 Got it, thanks for letting us know. Go ahead and test the update once again, this time when the prompt shows double tap the Side button on your iPhone. If needed this article will assist with the location: [LINK] Let us know the results.
Customer: @AppleSupport This has been trying to load save yesterday. Same with all other apps that I’m trying to update.","@AppleSupport It’s the same using cellular &amp; WiFi (tried 3 different WiFi networks) when I try downloading an app, it says double tap on the right. I do. Nothing happens. When updating, the app just never loads. I’ve been “updating” since yesterday.",@AppleSupport This has been trying to load save yesterday. Same with all other apps that I’m trying to update.,Connectivity,HIGH,NO,Standard support issue,Connectivity,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
78,apple_2673454_26230,short,2,"AppleSupport: @752648 We'd like to hear more about what's going on. DM us more about the text issues you're experiencing. [LINK]
Customer: @AppleSupport I sent a DM. No response.",@AppleSupport I sent a DM. No response.,@AppleSupport I sent a DM. No response.,Other / General,LOW,NO,Standard support issue,Messages / Calling,NO,,REVIEWED,Intent corrected from 'Other / General' to 'Messages / Calling'; escalation flag confirmed.
79,apple_619408_6119,short,2,"AppleSupport: @266985 We can help! Which device are you using and what's going on with it? Reply in DM to get started. [LINK]
Customer: @AppleSupport Done! Looking for immediate assistance and quick solution",@AppleSupport Done! Looking for immediate assistance and quick solution,@AppleSupport Done! Looking for immediate assistance and quick solution,Other / General,LOW,NO,Standard support issue,Other / General,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
80,apple_1441526_13985,long,7,"AppleSupport: @441384 Hi there. Help is here! Let's talk via DM and get your iPhone responding nimbly again. Please tap here to continue: [LINK]
Customer: @AppleSupport Couldnt we talk publicly? I have a lot of friends who are having this issue. Thanks.
AppleSupport: @441384 Publicly we can offer some basic steps to dig deeper we'll need to work in DM. Let's start here: [LINK]
Customer: @AppleSupport Ok thanks no I know all these tips. My battery lasted all day before the iOS update. It’s the update not my settings.
AppleSupport: @441384 Thanks for checking each of those! Have you had a chance to update to iOS 11.1? You can check in Settings &gt; General &gt; About.
Customer: @AppleSupport Just did. Should it help with lag time and battery life? Thanks
AppleSupport: @441384 You should see improvement. If not, please let us know. We're here to help.",@AppleSupport Couldnt we talk publicly? I have a lot of friends who are having this issue. Thanks.,@AppleSupport Just did. Should it help with lag time and battery life? Thanks,Battery / Charging,MEDIUM,NO,Standard support issue,Battery / Charging,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
81,apple_1368823_13250,short,2,"AppleSupport: @438616 We've got your back! What happens when you try to connect to your home Wi-Fi network? Are you seeing any errors?
Customer: @AppleSupport It says unable to join network",@AppleSupport It says unable to join network,@AppleSupport It says unable to join network,Connectivity,MEDIUM,NO,Standard support issue,Connectivity,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
82,apple_2369461_23749,long,7,"AppleSupport: @483411 Hey there! Let's try resetting the keyboard. Go to Settings &gt; General &gt; Reset &gt; Reset Keyboard Dictionary. Let us know if this helps!
Customer: @AppleSupport Do those settings get synced to iCloud? I set up as new iPhone X. Each time I do I also get my kb shortcuts so something is syncing fr iClou
AppleSupport: @483411 They do sync. When you set up your new iPhone X, did you sign into iCloud?
Customer: @AppleSupport Yes I did. Is that where it syncs the keyboard dictionary from?
AppleSupport: @483411 Yes, your text replacements are synced through iCloud. Did resetting the keyboard help? If not, DM us back. We'll continue with this there. [LINK]
Customer: @AppleSupport Testing!
AppleSupport: @483411 Great. DM us back the results, please. [LINK]",@AppleSupport Do those settings get synced to iCloud? I set up as new iPhone X. Each time I do I also get my kb shortcuts so something is syncing fr iClou,@AppleSupport Testing!,Settings / Features,HIGH,NO,Standard support issue,iCloud / Backup / Data,NO,,REVIEWED,Intent corrected from 'Settings / Features' to 'iCloud / Backup / Data'; escalation flag confirmed.
83,apple_2295668_22648,long,5,"AppleSupport: @263940 We understand wanting to get the achievement you earned. Let's look into this together. Which iOS are you running on your iPhone? Which watchOS are you running on your Watch?
Customer: @AppleSupport I'm running 11.2 (15C5097d) on the 7 Plus and on my Series 2 GPS 4.1 (15R846) :)
AppleSupport: @263940 Since iOS 11.2 is a beta version, we'd like you to leave feedback about this through the Feedback Assistant. If you would like to revert back to iOS 11.1.1 to see if the achievement appears, we can help you with that. Let us know what you'd like to do.
Customer: @AppleSupport I got it. 🎉 [LINK]
AppleSupport: @263940 Fantastic! We're glad to hear that you got the credit for your hard work. Have a good rest of your day.",@AppleSupport I'm running 11.2 (15C5097d) on the 7 Plus and on my Series 2 GPS 4.1 (15R846) :),@AppleSupport I got it. 🎉 [LINK],Other / General,LOW,NO,Standard support issue,iOS / Software,NO,,REVIEWED,Intent corrected from 'Other / General' to 'iOS / Software'; escalation flag confirmed.
84,apple_441068_4387,medium,3,"AppleSupport: @219642 Thanks for reaching out. Are you using iCloud to save and sync Notes between devices? [LINK]
Customer: @AppleSupport No only have IPad and spend more time with it than my wife!
AppleSupport: @219642 Alright, let's take a closer look at the issue in DM. [LINK]",@AppleSupport No only have IPad and spend more time with it than my wife!,@AppleSupport No only have IPad and spend more time with it than my wife!,Other / General,LOW,NO,Standard support issue,iCloud / Backup / Data,NO,,REVIEWED,Intent corrected from 'Other / General' to 'iCloud / Backup / Data'; escalation flag confirmed.
85,apple_2345911_23406,medium,3,"AppleSupport: @678344 We want to help. Have you updated to iOS 11.1.1 yet?
Customer: @AppleSupport That might have fixed it! Testing... I... I... yay!!! Thanks!
AppleSupport: @678344 Awesome! Be sure to reach out if you need us in the future.",@AppleSupport That might have fixed it! Testing... I... I... yay!!! Thanks!,@AppleSupport That might have fixed it! Testing... I... I... yay!!! Thanks!,Other / General,LOW,NO,Standard support issue,iOS / Software,NO,,REVIEWED,Intent corrected from 'Other / General' to 'iOS / Software'; escalation flag confirmed.
86,apple_2690752_26457,medium,3,"AppleSupport: @756438 Certainly not what we want you to experience. We'd like to help with your iPhone. Please let us know more about exactly what occurred. Are you able to see the Apple logo when performing a force restart? Here's a guide: [LINK]
Customer: @AppleSupport Tried all possible methods but none of them work, NOTHING. After latest update the screen went grey and then black. The only sign of life is the sound when plugging in to a pc.
AppleSupport: @756438 Send us a DM with the country that you're located in to continue. [LINK]","@AppleSupport Tried all possible methods but none of them work, NOTHING. After latest update the screen went grey and then black. The only sign of life is the sound when plugging in to a pc.","@AppleSupport Tried all possible methods but none of them work, NOTHING. After latest update the screen went grey and then black. The only sign of life is the sound when plugging in to a pc.",Device / Hardware,MEDIUM,NO,Standard support issue,Device / Hardware,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
87,apple_2125117_20906,short,2,"AppleSupport: @625839 Here’s what you can do to work around the issue until it’s fixed in a future software update: [LINK]
Customer: @AppleSupport 🙏",@AppleSupport 🙏,@AppleSupport 🙏,Other / General,LOW,YES,Insufficient actionable context,iOS / Software,NO,,REVIEWED,Intent corrected from 'Other / General' to 'iOS / Software'; escalation flag changed from YES to NO.
